Logging requires wandb to be installed. Run `pip install wandb`.
step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,17,1,4.153419880080037,0.0,0.13333333333333333
2,34,2,3.373249238356948,0.0,0.25
3,43,3,5.557219564914703,0.0,0.0
4,60,4,3.0110401771962643,0.0,0.3
5,77,5,3.7899268306791782,0.0,0.09090909090909091
6,94,6,2.6058505326509476,0.0,0.2
7,111,7,2.4672002363950014,0.0,0.3
8,128,8,3.668684631586075,0.0,0.1111111111111111
9,145,9,3.905048673041165,0.0,0.3333333333333333
10,162,10,2.180311743170023,0.0,0.23076923076923078
11,179,11,2.4965021535754204,0.0,0.5454545454545454
12,188,12,4.892648108303547,0.0,0.25
13,205,13,3.399803390726447,0.0,0.2222222222222222
14,222,14,3.627858281135559,0.0,0.1
15,231,15,7.0074649304151535,0.0,0.125
16,240,16,3.935807704925537,0.0,0.3333333333333333
17,257,17,3.6687600053846836,0.0,0.23076923076923078
18,274,18,2.121653226437047,0.0,0.3
19,291,19,3.363792512565851,0.0,0.09090909090909091
20,308,20,3.312949538230896,0.0,0.2222222222222222
21,317,21,1.1474989112466574,0.0,0.25
22,334,22,3.389072895050049,0.0,0.25
23,351,23,2.478949835523963,0.0,0.3
24,360,24,3.2340933550149202,0.0,0.3333333333333333
25,377,25,3.5048272870481014,0.0,0.25
26,394,26,3.458820603787899,0.0,0.2222222222222222
27,403,27,2.47500173561275,0.0,0.4
28,412,28,7.716420352458954,0.0,0.0
29,421,29,4.78822772577405,0.0,0.2857142857142857
30,438,30,3.6482989136129618,0.0,0.2222222222222222
31,447,31,2.3944665156304836,0.0,0.2
32,464,32,3.3896094504743814,0.0,0.2727272727272727
33,481,33,3.028782680630684,0.0,0.0
34,498,34,3.223879536613822,0.0,0.25
35,515,35,3.189594529569149,0.0,0.2
36,532,36,4.3376323990523815,0.0,0.07692307692307693
37,549,37,3.2704352512955666,0.0,0.4
38,566,38,3.1610688362270594,0.0,0.35714285714285715
39,575,39,1.125341922044754,0.0,0.5
40,592,40,2.917120716534555,0.0,0.4166666666666667
41,601,41,1.3977708518505096,0.0,0.6666666666666666
42,618,42,3.534482404589653,0.0,0.0
43,627,43,3.5434232503175735,0.0,0.25
44,636,44,2.618310211226344,0.0,0.3333333333333333
45,645,45,4.477760672569275,0.0,0.0
46,654,46,3.2446076534688473,0.0,0.3333333333333333
47,671,47,2.6160285173682496,0.0,0.4
48,688,48,3.927376080537215,0.0,0.3333333333333333
49,705,49,2.1859552077949047,0.0,0.2222222222222222
50,722,50,3.1402614745602477,0.0,0.38461538461538464
51,739,51,3.2641448224894702,0.0,0.38461538461538464
52,748,52,5.713713467121124,0.0,0.125
53,765,53,2.345569157972932,0.0,0.2727272727272727
54,774,54,1.7429364491254091,0.0,0.5
55,791,55,2.218826813623309,0.0,0.2222222222222222
56,808,56,3.4407958907540888,0.0,0.3076923076923077
57,825,57,3.322562286630273,0.0,0.3
58,842,58,4.6602542599848675,0.0,0.26666666666666666
59,859,59,2.8944053603336215,0.0,0.4166666666666667
60,876,60,3.52815695758909,0.0,0.2857142857142857
61,885,61,1.6092983782291412,0.0,0.25
62,902,62,3.234209433197975,0.0,0.18181818181818182
63,919,63,3.6182837430387735,0.0,0.18181818181818182
64,928,64,1.38197005353868,0.0,0.4
65,945,65,2.916481902021701,0.0,0.2727272727272727
66,962,66,3.242182593792677,0.0,0.2
67,979,67,3.6584907388314605,0.0,0.3333333333333333
