Logging requires wandb to be installed. Run `pip install wandb`.
step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,2000,80,2.027271336438624,0.0,0.25178997613365156,1.970790618577151,0.0,0.2832957110609481
2,4640,160,1.48715642903299,0.0,0.27085714285714285,,,
3,7280,240,1.370435744039287,0.0,0.30641330166270786,,,
4,9280,320,1.6426542262958719,0.0,0.30661577608142493,,,
5,11920,400,1.2784555140963108,0.0,0.3372093023255814,,,
6,13920,480,1.5624811944204642,0.0,0.38073394495412843,1.6291300999121934,0.0,0.37206703910614525
7,15920,560,1.5172692032416004,0.0,0.3503562945368171,,,
8,17920,640,1.4932483725175663,0.0,0.3497536945812808,,,
9,19920,720,1.5218544412589077,0.0,0.37543453070683663,,,
10,21920,800,1.574478747661082,0.0,0.32242424242424245,,,
11,23920,880,1.47863082847745,0.0,0.3867141162514828,1.3891805197522937,0.0,0.3704630788485607
12,25920,960,1.3313957016371698,0.0,0.344,,,
13,27920,1040,1.5111494085253525,0.0,0.3381995133819951,,,
14,29920,1120,1.5261211032051505,0.0,0.37790697674418605,,,
15,31920,1200,1.5107362411888212,0.0,0.36681715575620766,,,
16,33920,1280,1.3707193900010224,0.012500000186264515,0.3951219512195122,,,
17,36560,1360,1.0089379907741431,0.0,0.4050179211469534,1.0071531705015546,0.0,0.4423292273236282
18,38560,1440,1.3660771280649082,0.0,0.38083228247162676,,,
19,40560,1520,1.409939422935607,0.0,0.39229843561973526,,,
20,42560,1600,1.3478565978002583,0.0,0.41299019607843135,,,
21,44560,1680,1.3426036306384541,0.0,0.3797953964194373,,,
22,46560,1760,1.3109277743089138,0.0,0.43773119605425403,,,
23,48560,1840,1.4263094712530042,0.0,0.41061130334486734,1.5005809638684524,0.0,0.4098901098901099
24,51200,1920,1.0824896106040796,0.0,0.38011695906432746,,,
25,53200,2000,1.2686982964249789,0.0,0.4057788944723618,,,
26,55840,2080,1.0308918738394055,0.0,0.41754385964912283,,,
27,58480,2160,1.0091484162456112,0.0,0.428246013667426,,,
28,60480,2240,1.2938642150777961,0.0,0.42098765432098767,1.484673741540693,0.0,0.39174107142857145
29,62480,2320,1.3357375159555736,0.0,0.44277456647398844,,,
30,64480,2400,1.2939163702760956,0.012500000186264515,0.4185185185185185,,,
31,66480,2480,1.422858802966048,0.0,0.4057471264367816,,,
32,68480,2560,1.363456009076155,0.0,0.41784037558685444,,,
33,70480,2640,1.2395554388325385,0.0,0.43125,1.249785174445742,0.0,0.43472906403940886
34,72480,2720,1.3530298565083114,0.0,0.413953488372093,,,
35,74480,2800,1.3213457271658333,0.0,0.39415204678362575,,,
36,76480,2880,1.397648082630306,0.0,0.4112808460634548,,,
37,78480,2960,1.3759273454868661,0.012500000186264515,0.39600470035252644,,,
38,80480,3040,1.3933210763562784,0.0,0.40559440559440557,1.076097937177579,0.0,0.4316996871741397
39,82480,3120,1.2361821144627092,0.0,0.45365853658536587,,,
40,84480,3200,1.3652082216020138,0.0,0.42117930204572807,,,
41,86480,3280,1.2231938393872346,0.0,0.44823232323232326,,,
42,88480,3360,1.4033519061076505,0.012500000186264515,0.41832229580573954,,,
43,90480,3440,1.3280842484712043,0.0,0.431980906921241,0.9919855358710544,0.0,0.4410430839002268
44,92480,3520,1.2459906842929485,0.012500000186264515,0.41530740276035133,,,
45,94480,3600,1.1476050892315888,0.012500000186264515,0.4674329501915709,,,
46,97120,3680,1.0262391863452351,0.0,0.4133489461358314,,,
47,99760,3760,1.0435431890142326,0.0,0.4143835616438356,,,
48,102400,3840,0.9492614419174303,0.0,0.413265306122449,,,
49,104400,3920,1.3119112452773607,0.0,0.3854415274463007,1.4211843628160448,0.0,0.38838268792710706
50,106400,4000,1.3774041892209827,0.0,0.3977272727272727,,,
51,108400,4080,1.1216964603660224,0.0,0.4486345903771131,,,
52,111040,4160,0.9299243980960057,0.0,0.453646477132262,,,
53,113680,4240,0.8558224658553713,0.012500000186264515,0.4994192799070848,,,
54,115680,4320,1.355299241970124,0.0,0.4365256124721604,1.4487888094967465,0.0,0.42046718576195774
55,117680,4400,1.1877908439882277,0.0,0.46682750301568154,,,
56,119680,4480,1.2597022677465588,0.0,0.4318734793187348,,,
57,121680,4560,1.1919695666764027,0.012500000186264515,0.45885286783042395,,,
58,123680,4640,1.161517461270114,0.0,0.44387096774193546,,,
59,125680,4720,1.152070913483332,0.012500000186264515,0.46921182266009853,,,
60,127680,4800,1.1140535557773432,0.012500000186264515,0.49261083743842365,1.0055343252647535,0.0,0.41647597254004576
61,129680,4880,1.1886327655480537,0.0,0.4568345323741007,,,
62,132320,4960,0.9816138428368504,0.012500000186264515,0.425754060324826,,,
63,134320,5040,1.1432880768922624,0.0,0.4593241551939925,,,
64,136320,5120,1.1111321910629575,0.0,0.4512820512820513,,,
65,138320,5200,1.126396855712585,0.0,0.48402948402948404,,,
66,140320,5280,1.2368994398908153,0.0,0.4608294930875576,1.2865214983540738,0.012500000186264515,0.43329532497149376
67,142320,5360,1.2891888852368747,0.0,0.46613995485327314,,,
68,144320,5440,1.1868354505065648,0.0,0.46916565900846435,,,
69,146320,5520,1.201692995086529,0.0,0.4515738498789346,,,
70,148320,5600,1.2373165530521721,0.012500000186264515,0.44155844155844154,,,
71,150320,5680,1.2743283152326303,0.0,0.48534201954397393,1.4768483994702517,0.0,0.4130663856691254
72,152960,5760,0.9748362469549818,0.0,0.4431279620853081,,,
73,155600,5840,0.9530185827974151,0.0,0.4414519906323185,,,
74,157600,5920,1.3818331306948588,0.0,0.4184149184149184,,,
75,159600,6000,1.1468428759964089,0.012500000186264515,0.47334200260078024,,,
76,161600,6080,1.091048535270473,0.012500000186264515,0.5054021608643458,,,
77,163600,6160,1.18429437179747,0.0,0.452991452991453,1.2864818056598704,0.0,0.428246013667426
78,165600,6240,1.280784867166249,0.0,0.44727694090382386,,,
79,168240,6320,0.9701958087311737,0.0,0.4416761041902605,,,
80,170880,6400,0.926488252920582,0.0,0.45615982241953384,,,
81,172880,6480,1.1004856988831786,0.0,0.4856070087609512,,,
82,174880,6560,1.1646153124229186,0.0,0.45870393900889456,1.0470354047220896,0.0,0.3824884792626728
83,176880,6640,1.2596621829972185,0.012500000186264515,0.43356643356643354,,,
84,178880,6720,1.2582641133633987,0.0,0.4474885844748858,,,
85,180880,6800,1.2496594426390477,0.02500000037252903,0.4380841121495327,,,
86,182880,6880,1.26593088050977,0.0,0.42700729927007297,,,
87,184880,6960,1.2006826392615797,0.012500000186264515,0.4548736462093863,1.4016261782330852,0.0,0.42299107142857145
88,187520,7040,0.9269417092103666,0.012500000186264515,0.4346246973365617,,,
89,190160,7120,0.9652694989230539,0.0,0.47651006711409394,,,
90,192160,7200,1.1326614213045219,0.0,0.4454203262233375,,,
91,194160,7280,1.2156473698292511,0.0,0.456242707117853,,,
92,196160,7360,1.0837590738958398,0.0,0.47601476014760147,1.0269007922252258,0.0,0.4144736842105263
93,198800,7440,0.927389179481203,0.0,0.45883777239709445,,,
94,200800,7520,1.34670161857206,0.012500000186264515,0.4544456641053787,,,
95,203440,7600,0.9538569257764934,0.0,0.43944636678200694,,,
96,205440,7680,1.2557734274014707,0.0,0.46779661016949153,,,
97,207440,7760,1.151739379656423,0.0,0.4601990049751244,1.35229093752053,0.0,0.44040862656072643
98,209440,7840,1.2098331446038892,0.0,0.42983565107458915,,,
99,211440,7920,1.1833294425136314,0.0,0.4717647058823529,,,
100,213440,8000,1.1767330821368167,0.0,0.4478203434610304,,,
101,215440,8080,1.1489150893188025,0.012500000186264515,0.4736196319018405,,,
102,217440,8160,1.0503324802291436,0.012500000186264515,0.4993849938499385,,,
103,219440,8240,1.0427651172922614,0.0,0.48875,1.3228591045047893,0.0,0.40617283950617283
104,221440,8320,1.0900510326100914,0.012500000186264515,0.4907292954264524,,,
105,223440,8400,1.2465409516361368,0.0,0.4762443438914027,,,
106,225440,8480,1.0210768934399577,0.0,0.5044814340588989,,,
107,227440,8560,1.0030672670774663,0.0,0.5421686746987951,,,
108,229440,8640,1.031890632845754,0.0,0.5276705276705277,,,
109,231440,8720,1.1336611023893397,0.012500000186264515,0.46329723225030084,0.9729916708386241,0.0,0.43453070683661643
110,233440,8800,1.0551636793682215,0.0,0.5294811320754716,,,
111,235440,8880,1.1888556164720625,0.012500000186264515,0.46705882352941175,,,
112,237440,8960,1.1012587956285538,0.0,0.4981549815498155,,,
113,239440,9040,1.091105036329183,0.0,0.5127314814814815,,,
114,241440,9120,1.121795316659898,0.0,0.5101809954751131,1.086162913812515,0.0,0.423728813559322
115,243440,9200,1.0863078090264875,0.0,0.5037220843672456,,,
116,245440,9280,1.128092289833277,0.0,0.5170454545454546,,,
117,247440,9360,1.124417740839154,0.0,0.5056053811659192,,,
118,250080,9440,0.8318466181701055,0.0,0.5172018348623854,,,
119,252080,9520,1.0329215282649404,0.02500000037252903,0.5082802547770701,1.223687512420103,0.0,0.44471744471744473
120,254720,9600,0.8274801693415157,0.02500000037252903,0.4950859950859951,,,
121,257360,9680,0.8289603695668581,0.012500000186264515,0.5227272727272727,,,
122,259360,9760,1.1173511767487858,0.0,0.5047281323877069,,,
123,262000,9840,0.7311547018526369,0.012500000186264515,0.49876543209876545,,,
124,264640,9920,0.7888127803000671,0.012500000186264515,0.535924617196702,1.3180807470949636,0.0,0.4611923509561305
125,267280,10000,0.805137244741475,0.0,0.518957345971564,,,
126,269280,10080,1.0588674328151872,0.0,0.49813664596273294,,,
127,271280,10160,1.1607066395406358,0.0,0.5068649885583524,,,
128,273920,10240,0.8153025441970847,0.0,0.5023094688221709,,,
129,275920,10320,1.0091818050219976,0.0,0.50186799501868,1.0026441442870733,0.0,0.44144144144144143
130,277920,10400,1.0617991033526664,0.0,0.510718789407314,,,
131,279920,10480,0.9782750614285382,0.0,0.5236270753512133,,,
132,281920,10560,1.1384398673619993,0.0,0.5149082568807339,,,
133,283920,10640,1.1092567340646464,0.0,0.5060240963855421,,,
134,285920,10720,1.1138911531146163,0.012500000186264515,0.4963680387409201,,,
135,287920,10800,1.0534119592752769,0.012500000186264515,0.5080745341614907,1.0417851547605417,0.0,0.44600431965442766
